"GEO_ID","NAME","B27010_001E","B27010_001M","B27010_002E","B27010_002M","B27010_003E","B27010_003M","B27010_004E","B27010_004M","B27010_005E","B27010_005M","B27010_006E","B27010_006M","B27010_007E","B27010_007M","B27010_008E","B27010_008M","B27010_009E","B27010_009M","B27010_010E","B27010_010M","B27010_011E","B27010_011M","B27010_012E","B27010_012M","B27010_013E","B27010_013M","B27010_014E","B27010_014M","B27010_015E","B27010_015M","B27010_016E","B27010_016M","B27010_017E","B27010_017M","B27010_018E","B27010_018M","B27010_019E","B27010_019M","B27010_020E","B27010_020M","B27010_021E","B27010_021M","B27010_022E","B27010_022M","B27010_023E","B27010_023M","B27010_024E","B27010_024M","B27010_025E","B27010_025M","B27010_026E","B27010_026M","B27010_027E","B27010_027M","B27010_028E","B27010_028M","B27010_029E","B27010_029M","B27010_030E","B27010_030M","B27010_031E","B27010_031M","B27010_032E","B27010_032M","B27010_033E","B27010_033M","B27010_034E","B27010_034M","B27010_035E","B27010_035M","B27010_036E","B27010_036M","B27010_037E","B27010_037M","B27010_038E","B27010_038M","B27010_039E","B27010_039M","B27010_040E","B27010_040M","B27010_041E","B27010_041M","B27010_042E","B27010_042M","B27010_043E","B27010_043M","B27010_044E","B27010_044M","B27010_045E","B27010_045M","B27010_046E","B27010_046M","B27010_047E","B27010_047M","B27010_048E","B27010_048M","B27010_049E","B27010_049M","B27010_050E","B27010_050M","B27010_051E","B27010_051M","B27010_052E","B27010_052M","B27010_053E","B27010_053M","B27010_054E","B27010_054M","B27010_055E","B27010_055M","B27010_056E","B27010_056M","B27010_057E","B27010_057M","B27010_058E","B27010_058M","B27010_059E","B27010_059M","B27010_060E","B27010_060M","B27010_061E","B27010_061M","B27010_062E","B27010_062M","B27010_063E","B27010_063M","B27010_064E","B27010_064M","B27010_065E","B27010_065M","B27010_066E","B27010_066M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under 19 years:","Margin of Error!!Total:!!Under 19 years:","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!Under 19 years:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!Under 19 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!Under 19 years:!!No health insurance coverage","Margin of Error!!Total:!!Under 19 years:!!No health insurance coverage","Estimate!!Total:!!19 to 34 years:","Margin of Error!!Total:!!19 to 34 years:","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!19 to 34 years:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!19 to 34 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!19 to 34 years:!!No health insurance coverage","Margin of Error!!Total:!!19 to 34 years:!!No health insurance coverage","Estimate!!Total:!!35 to 64 years:","Margin of Error!!Total:!!35 to 64 years:","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With Medicaid/means-tested public coverage only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!35 to 64 years:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!35 to 64 years:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!35 to 64 years:!!No health insurance coverage","Margin of Error!!Total:!!35 to 64 years:!!No health insurance coverage","Estimate!!Total:!!65 years and over:","Margin of Error!!Total:!!65 years and over:","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With employer-based health insurance only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With employer-based health insurance only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With direct-purchase health insurance only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With Medicare coverage only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With Medicare coverage only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With TRICARE/military health coverage only","Estimate!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With VA Health Care only","Margin of Error!!Total:!!65 years and over:!!With one type of health insurance coverage:!!With VA Health Care only","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and direct-purchase coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With employer-based and Medicare coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With direct-purchase and Medicare coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!With Medicare and Medicaid/means-tested public coverage","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other private only combinations","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other private only combinations","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other public only combinations","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other public only combinations","Estimate!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other coverage combinations","Margin of Error!!Total:!!65 years and over:!!With two or more types of health insurance coverage:!!Other coverage combinations","Estimate!!Total:!!65 years and over:!!No health insurance coverage","Margin of Error!!Total:!!65 years and over:!!No health insurance coverage",
"1500000US040019426001","Block Group 1; Census Tract 9426; Apache County; Arizona","897","297","229","120","169","114","21","24","0","14","0","14","148","111","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","60","60","253","118","118","99","83","93","0","14","0","14","35","34","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","135","78","282","107","142","78","56","38","0","14","0","14","86","69","0","14","0","14","6","9","0","14","0","14","0","14","6","9","0","14","0","14","0","14","134","72","133","83","17","14","12","13","0","14","5","7","0","14","0","14","116","82","0","14","0","14","0","14","116","82","0","14","0","14","0","14","0","14",
"1500000US040019426002","Block Group 2; Census Tract 9426; Apache County; Arizona","532","182","137","95","69","61","41","45","0","14","0","14","28","46","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","68","63","123","70","63","52","36","36","0","14","0","14","27","40","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","60","38","212","72","70","40","48","32","0","14","5","8","17","18","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","142","64","60","30","7","11","7","11","0","14","0","14","0","14","0","14","41","19","0","14","0","14","0","14","41","19","0","14","0","14","0","14","12","16",
"1500000US040019427001","Block Group 1; Census Tract 9427; Apache County; Arizona","1108","234","350","128","265","117","58","35","0","14","0","14","207","115","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","85","55","335","102","124","60","10","13","0","14","8","13","106","54","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","211","85","294","87","187","55","113","44","0","14","0","14","74","41","0","14","0","14","27","27","0","14","0","14","0","14","22","25","0","14","0","14","5","7","80","33","129","41","50","24","0","14","0","14","50","24","0","14","0","14","75","31","0","14","14","16","0","14","57","25","0","14","4","6","0","14","4","6",
"1500000US040019427002","Block Group 2; Census Tract 9427; Apache County; Arizona","1268","242","293","142","151","99","63","74","0","14","0","14","88","63","0","14","0","14","24","30","0","14","0","14","0","14","8","16","0","14","16","25","118","78","231","73","144","59","113","53","0","14","0","14","31","28","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","87","48","535","107","287","87","172","64","4","7","0","14","111","51","0","14","0","14","54","31","8","13","0","14","0","14","10","10","4","6","0","14","32","26","194","56","209","59","83","33","4","6","0","14","79","32","0","14","0","14","126","42","0","14","20","21","5","7","83","29","0","14","18","25","0","14","0","14",
"1500000US040019427003","Block Group 3; Census Tract 9427; Apache County; Arizona","894","286","189","101","122","70","16","17","0","14","0","14","106","71","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","67","61","177","88","111","61","12","15","0","14","0","14","99","56","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","66","48","317","112","200","76","89","61","0","14","8","9","103","50","0","14","0","14","26","24","0","14","0","14","0","14","18","18","0","14","0","14","8","12","91","76","211","74","113","60","20","20","0","14","93","57","0","14","0","14","97","52","0","14","0","14","0","14","86","51","0","14","7","10","4","5","1","2",
"1500000US040019427004","Block Group 4; Census Tract 9427; Apache County; Arizona","1587","263","360","126","264","113","27","27","0","14","0","14","237","109","0","14","0","14","5","7","0","14","0","14","5","7","0","14","0","14","0","14","91","66","387","115","200","68","55","33","0","14","0","14","145","55","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","187","84","590","109","306","68","122","36","0","14","5","9","179","60","0","14","0","14","63","40","0","14","15","16","0","14","35","23","0","14","0","14","13","19","221","77","250","57","79","26","0","14","0","14","79","26","0","14","0","14","150","52","0","14","6","7","0","14","132","52","0","14","10","9","2","3","21","16",
"1500000US040019440001","Block Group 1; Census Tract 9440; Apache County; Arizona","1461","453","383","204","142","59","25","19","0","14","0","14","117","58","0","14","0","14","5","9","0","14","0","14","0","14","0","14","0","14","5","9","236","195","330","121","129","61","33","27","0","14","0","14","96","55","0","14","0","14","5","8","0","14","0","14","0","14","0","14","0","14","5","8","196","93","483","109","255","66","75","34","3","7","3","5","172","55","0","14","2","5","25","21","0","14","0","14","0","14","20","20","0","14","0","14","5","8","203","86","265","143","154","134","3","4","0","14","151","135","0","14","0","14","106","45","0","14","11","15","6","8","86","42","0","14","1","4","2","4","5","6",
"1500000US040019440002","Block Group 2; Census Tract 9440; Apache County; Arizona","1796","428","353","180","104","77","26","34","0","14","0","14","78","71","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","249","166","356","145","118","78","59","48","0","14","0","14","20","29","39","52","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","238","114","794","212","390","122","264","97","0","14","20","32","106","76","0","14","0","14","20","31","0","14","0","14","0","14","0","14","0","14","0","14","20","31","384","147","293","114","218","102","49","39","0","14","169","100","0","14","0","14","66","35","0","14","19","19","0","14","47","29","0","14","0","14","0","14","9","14",
"1500000US040019440003","Block Group 3; Census Tract 9440; Apache County; Arizona","2423","377","742","213","342","168","0","14","0","14","0","14","342","168","0","14","0","14","143","88","0","14","0","14","0","14","0","14","0","14","143","88","257","182","695","151","419","163","108","78","0","14","0","14","287","140","24","38","0","14","50","27","0","14","0","14","0","14","0","14","0","14","50","27","226","129","710","149","361","119","150","77","0","14","30","32","181","85","0","14","0","14","79","51","12","18","0","14","0","14","0","14","0","14","0","14","67","47","270","136","276","86","197","70","19","20","9","13","169","64","0","14","0","14","79","41","0","14","10","15","0","14","59","36","0","14","10","16","0","14","0","14",
"1500000US040019441001","Block Group 1; Census Tract 9441; Apache County; Arizona","1365","358","364","152","290","137","97","67","0","14","0","14","193","117","0","14","0","14","41","43","0","14","0","14","0","14","0","14","0","14","41","43","33","36","302","106","238","103","67","50","0","14","0","14","171","104","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","64","37","427","106","330","103","94","52","15","18","0","14","199","83","0","14","22","32","7","10","0","14","0","14","0","14","0","14","0","14","0","14","7","10","90","46","272","106","119","72","0","14","0","14","119","72","0","14","0","14","129","78","0","14","4","7","4","7","95","77","0","14","13","12","13","20","24","24",
"1500000US040019441002","Block Group 2; Census Tract 9441; Apache County; Arizona","988","236","396","159","315","147","121","90","0","14","0","14","194","112","0","14","0","14","15","16","0","14","0","14","0","14","0","14","0","14","15","16","66","49","143","68","101","56","28","25","0","14","0","14","73","50","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","42","42","341","81","287","70","134","51","0","14","5","8","148","55","0","14","0","14","5","7","0","14","0","14","0","14","5","7","0","14","0","14","0","14","49","36","108","35","36","21","5","8","0","14","31","20","0","14","0","14","67","27","0","14","0","14","0","14","62","26","0","14","5","7","0","14","5","7",
"1500000US040019441003","Block Group 3; Census Tract 9441; Apache County; Arizona","932","297","295","125","199","96","8","12","0","14","0","14","191","95","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","96","72","307","131","187","89","12","18","0","14","0","14","175","81","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","120","77","242","79","168","66","44","32","0","14","0","14","124","60","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","74","38","88","34","24","16","0","14","0","14","24","16","0","14","0","14","49","27","0","14","5","8","0","14","26","22","0","14","9","10","9","11","15","12",
"1500000US040019441004","Block Group 4; Census Tract 9441; Apache County; Arizona","1972","276","707","201","544","170","220","119","6","9","0","14","308","121","10","24","0","14","54","52","0","14","0","14","20","30","0","14","0","14","34","44","109","97","702","135","567","124","220","90","9","13","7","12","300","141","31","47","0","14","22","19","4","9","0","14","5","8","0","14","0","14","13","16","113","76","366","71","335","69","162","49","0","14","0","14","173","50","0","14","0","14","5","7","0","14","0","14","0","14","5","7","0","14","0","14","0","14","26","20","197","51","82","33","29","17","0","14","53","28","0","14","0","14","106","35","0","14","4","8","7","9","75","26","0","14","4","8","16","15","9","11",
"1500000US040019441005","Block Group 5; Census Tract 9441; Apache County; Arizona","759","227","278","129","251","127","22","34","0","14","0","14","229","125","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","27","30","176","87","156","82","9","13","6","10","0","14","141","80","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","20","27","206","72","148","69","67","49","0","14","0","14","81","53","0","14","0","14","5","7","0","14","0","14","0","14","5","7","0","14","0","14","0","14","53","38","99","40","46","30","0","14","0","14","46","30","0","14","0","14","53","32","0","14","10","15","4","7","39","28","0","14","0","14","0","14","0","14",
"1500000US040019442011","Block Group 1; Census Tract 9442.01; Apache County; Arizona","1698","462","736","300","674","296","249","190","0","14","0","14","425","256","0","14","0","14","46","59","46","59","0","14","0","14","0","14","0","14","0","14","16","26","379","188","217","113","33","35","0","14","0","14","184","113","0","14","0","14","46","60","0","14","0","14","0","14","0","14","46","60","0","14","116","100","403","146","285","121","90","58","0","14","0","14","195","116","0","14","0","14","53","53","25","38","0","14","0","14","0","14","0","14","28","35","0","14","65","59","180","77","0","14","0","14","0","14","0","14","0","14","0","14","180","77","0","14","26","28","0","14","119","63","0","14","35","51","0","14","0","14",
"1500000US040019442012","Block Group 2; Census Tract 9442.01; Apache County; Arizona","2378","577","800","333","363","180","119","119","49","62","0","14","195","134","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","437","297","451","192","261","151","170","130","0","14","0","14","91","78","0","14","0","14","27","44","0","14","0","14","0","14","0","14","0","14","27","44","163","108","967","245","493","162","283","129","14","22","0","14","196","83","0","14","0","14","55","44","20","30","0","14","0","14","12","18","11","18","0","14","12","19","419","166","160","86","48","47","25","39","0","14","23","27","0","14","0","14","91","63","0","14","11","18","0","14","68","51","0","14","1","2","11","18","21","35",
"1500000US040019442021","Block Group 1; Census Tract 9442.02; Apache County; Arizona","1336","465","405","205","310","187","0","14","0","14","0","14","310","187","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","95","106","299","127","199","121","27","42","0","14","0","14","172","114","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","100","107","465","227","282","208","93","87","0","14","35","41","154","104","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","183","120","167","144","0","14","0","14","0","14","0","14","0","14","0","14","167","144","0","14","13","21","0","14","154","153","0","14","0","14","0","14","0","14",
"1500000US040019442022","Block Group 2; Census Tract 9442.02; Apache County; Arizona","1053","396","228","153","218","153","53","68","0","14","0","14","165","134","0","14","0","14","10","19","0","14","0","14","0","14","0","14","0","14","10","19","0","14","154","115","154","115","24","37","0","14","0","14","130","110","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","467","179","348","151","155","126","0","14","15","24","178","94","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","119","95","204","102","114","91","9","15","0","14","105","88","0","14","0","14","90","55","0","14","0","14","0","14","90","55","0","14","0","14","0","14","0","14",
"1500000US040019442023","Block Group 3; Census Tract 9442.02; Apache County; Arizona","1193","365","338","208","318","207","155","142","0","14","0","14","163","181","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","20","32","145","101","66","61","24","37","0","14","0","14","42","48","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","79","85","499","184","415","161","266","149","0","14","0","14","149","87","0","14","0","14","15","26","0","14","0","14","0","14","15","26","0","14","0","14","0","14","69","56","211","80","117","61","35","31","0","14","82","60","0","14","0","14","82","50","0","14","12","19","0","14","58","47","0","14","12","19","0","14","12","19",
"1500000US040019443011","Block Group 1; Census Tract 9443.01; Apache County; Arizona","1033","323","307","222","95","58","61","48","0","14","0","14","34","32","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","212","216","248","101","152","84","62","44","0","14","0","14","90","67","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","96","61","365","91","229","59","120","48","0","14","0","14","96","34","0","14","13","13","18","16","0","14","0","14","0","14","18","16","0","14","0","14","0","14","118","75","113","38","35","20","4","6","0","14","31","19","0","14","0","14","74","35","0","14","0","14","0","14","70","34","0","14","4","6","0","14","4","6",
"1500000US040019443012","Block Group 2; Census Tract 9443.01; Apache County; Arizona","1285","240","216","86","126","66","55","41","0","14","0","14","71","58","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","90","60","277","139","72","33","38","24","0","14","0","14","34","27","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","205","136","549","101","249","84","145","51","0","14","0","14","104","55","0","14","0","14","12","11","3","5","0","14","0","14","4","7","0","14","0","14","5","7","288","77","243","56","51","22","20","13","0","14","28","15","0","14","3","4","190","49","0","14","6","7","0","14","168","48","0","14","2","5","14","12","2","8",
"1500000US040019443013","Block Group 3; Census Tract 9443.01; Apache County; Arizona","587","150","156","73","80","59","32","44","0","14","0","14","48","41","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","76","55","118","58","81","46","32","32","0","14","0","14","49","30","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","37","33","258","73","147","45","94","39","0","14","9","13","44","25","0","14","0","14","19","15","0","14","0","14","0","14","19","15","0","14","0","14","0","14","92","50","55","26","27","19","10","10","0","14","17","16","0","14","0","14","23","15","0","14","0","14","0","14","23","15","0","14","0","14","0","14","5","8",
